timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-02-04T10:27:27,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,1c13c5fb-6c17-49c3-ad27-d2f6d8c20534,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.1294918749999851,9.168908308547233e-08,7.080682327403386e-07,42.5,0.0,3.0,1.5283698534717242e-06,0,1.0779572916665833e-07,1.6361655826383825e-06,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T10:27:28,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,7ae2d6c4-504c-4954-aa0b-f43de2f2c901,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.4375397909999492,3.098746923140504e-07,7.08220597733216e-07,42.5,0.0,3.0,5.1651135416668764e-06,0,3.645121174999607e-07,5.529625659166837e-06,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T10:27:30,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,8ce4a517-9939-4926-b975-85b7ed40e646,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.2588818750000428,8.916056764017183e-07,7.082520561364727e-07,42.5,0.0,3.0,1.4861488541667792e-05,0,1.04896090249999e-06,1.591044944416778e-05,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T10:27:33,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,f7aec47c-cff4-4b4d-a74e-71e9d3bb0403,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.979613458000017,2.1103546921902683e-06,7.082645859731031e-07,42.5,0.0,3.0,3.517574086041759e-05,0,2.4829377775000697e-06,3.765867863791766e-05,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T10:27:34,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,ebfe829f-5453-4223-9724-93172a0e7b5c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0357063330000073,2.5265400947108133e-08,7.07588789560186e-07,42.5,0.0,3.0,4.212463173607893e-07,0,2.960756916659572e-08,4.5085388652738506e-07,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T10:27:34,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,0c6c62ce-c19b-4dd8-a89e-3595893a0c0f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0553386660000114,3.9172542705309806e-08,7.07869298932896e-07,42.5,0.0,3.0,6.53020858332967e-07,0,4.6002013333369025e-08,6.99022871666336e-07,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T10:27:35,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,aab52a39-c1aa-4c6a-89a2-942cc4f31ffb,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.1260903330000928,8.928691477449756e-08,7.081186372505796e-07,42.5,0.0,3.0,1.488299330556152e-06,0,1.0500024250006848e-07,1.5932995730562204e-06,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T10:27:35,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,19b02d42-a01e-438e-a080-63f2ee6b9def,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0436686660000305,3.090336419884067e-08,7.076782285682619e-07,42.5,0.0,3.0,5.152092013896474e-07,0,3.625253416667344e-08,5.514617355563209e-07,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T10:27:36,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,3e9b282f-f652-41a7-82df-d2bdabe413ee,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0987022919999844,6.98812075709826e-08,7.079998463560865e-07,42.5,0.0,3.0,1.1648753222222772e-06,0,8.21349308333197e-08,1.247010253055597e-06,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:04:34,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,e3f6dead-cced-46c4-81f1-f1af9f92a16f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.10134825,7.17594319275348e-08,7.080480612890187e-07,42.5,0.0,3.0,1.1961772569444455e-06,0,8.434937500000019e-08,1.2805266319444458e-06,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
